,Регион,ФО,"Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, % от впервые выявленных","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетом году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетном году, % от впервые выявленных","В том числе с использованием методов только хирургического, %","В том числе с использованием методов только лучевого, %","В том числе с использованием методов только лекарственного, %","В том числе с использованием методов комбинированного или комплексного (кроме химиолучевого), %","В том числе с использованием методов химиолучевого, %",Индикатор,Локализация,Таблица,Тип данных
1608,Иркутская область,СИБИРСКИЙ ФО,244,59.8,20,4.9,63.1,0.4,0.0,36.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1609,Кемеровская область,СИБИРСКИЙ ФО,260,61.6,71,16.8,69.6,0.4,0.0,30.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1610,Новосибирская область,СИБИРСКИЙ ФО,298,61.4,65,13.4,66.1,0.3,0.0,33.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1611,Омская область,СИБИРСКИЙ ФО,207,60.2,55,16.0,68.1,0.0,0.0,29.5,2.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1612,Томская область,СИБИРСКИЙ ФО,132,82.0,7,4.3,64.4,1.5,0.0,34.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1613,Республика Алтай,СИБИРСКИЙ ФО,11,73.3,2,13.3,54.5,0.0,0.0,45.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1614,Республика Тыва,СИБИРСКИЙ ФО,15,78.9,3,15.8,20.0,0.0,0.0,80.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1615,Республика Хакасия,СИБИРСКИЙ ФО,81,76.4,5,4.7,69.1,0.0,0.0,30.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1616,Приморский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,198,75.0,35,13.3,87.9,1.0,0.0,11.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1617,Хабаровский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,98,59.4,52,31.5,27.6,0.0,0.0,69.4,3.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1618,Амурская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,43,43.0,38,38.0,62.8,7.0,0.0,30.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1619,Камчатский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,28,80.0,4,11.4,64.3,0.0,0.0,35.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1620,Магаданская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,13,92.9,0,0.0,76.9,0.0,0.0,23.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1621,Сахалинская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,55,78.6,7,10.0,47.3,1.8,0.0,50.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1622,Забайкальский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,98,74.8,15,11.5,72.4,0.0,0.0,27.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1623,Чукотский авт.округ,ДАЛЬНЕВОСТОЧНЫЙ ФО,2,50.0,1,25.0,100.0,0.0,0.0,0.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1624,Республика Бурятия,ДАЛЬНЕВОСТОЧНЫЙ ФО,84,71.2,15,12.7,61.9,9.5,0.0,28.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1625,Республика Саха (Якутия),ДАЛЬНЕВОСТОЧНЫЙ ФО,53,91.4,0,0.0,62.3,0.0,0.0,37.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1626,Еврейская авт. обл.,ДАЛЬНЕВОСТОЧНЫЙ ФО,6,27.3,13,59.1,83.3,0.0,0.0,16.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Тело матки (С54),Таблица 78,СОП
1627,РОССИЯ,,6126,48.8,2775,22.1,45.2,0.0,0.0,54.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1628,Белгородская область,ЦЕНТРАЛЬНЫЙ ФО,72,52.9,42,30.9,33.3,0.0,0.0,66.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1629,Брянская область,ЦЕНТРАЛЬНЫЙ ФО,53,39.3,40,29.6,28.3,0.0,0.0,71.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1630,Владимирская область,ЦЕНТРАЛЬНЫЙ ФО,113,63.5,15,8.4,38.9,0.0,0.0,61.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1631,Воронежская область,ЦЕНТРАЛЬНЫЙ ФО,52,35.6,60,41.1,25.0,0.0,0.0,75.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1632,Ивановская область,ЦЕНТРАЛЬНЫЙ ФО,50,53.8,15,16.1,50.0,0.0,0.0,50.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1633,Тверская область,ЦЕНТРАЛЬНЫЙ ФО,66,59.5,20,18.0,22.7,0.0,0.0,77.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1634,Калужская область,ЦЕНТРАЛЬНЫЙ ФО,60,46.9,7,5.5,51.7,0.0,0.0,48.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1635,Костромская область,ЦЕНТРАЛЬНЫЙ ФО,20,36.4,22,40.0,50.0,0.0,0.0,50.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1636,Курская область,ЦЕНТРАЛЬНЫЙ ФО,67,74.4,1,1.1,31.3,0.0,0.0,68.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1637,Липецкая область,ЦЕНТРАЛЬНЫЙ ФО,60,59.4,16,15.8,0.0,0.0,0.0,100.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1638,г. Москва,ЦЕНТРАЛЬНЫЙ ФО,184,26.5,260,37.5,66.3,0.0,0.0,33.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1639,Московская область,ЦЕНТРАЛЬНЫЙ ФО,370,58.3,142,22.4,35.1,0.0,0.0,64.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1640,Орловская область,ЦЕНТРАЛЬНЫЙ ФО,41,51.9,17,21.5,43.9,0.0,0.0,56.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1641,Рязанская область,ЦЕНТРАЛЬНЫЙ ФО,80,55.2,39,26.9,21.3,0.0,0.0,78.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1642,Смоленская область,ЦЕНТРАЛЬНЫЙ ФО,37,32.2,40,34.8,40.5,0.0,0.0,59.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1643,Тамбовская область,ЦЕНТРАЛЬНЫЙ ФО,69,65.1,17,16.0,55.1,0.0,0.0,44.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1644,Тульская область,ЦЕНТРАЛЬНЫЙ ФО,72,58.5,5,4.1,51.4,0.0,0.0,48.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1645,Ярославская область,ЦЕНТРАЛЬНЫЙ ФО,75,52.4,7,4.9,26.7,0.0,0.0,73.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1646,Ненецкий а.о.,СЕВЕРО-ЗАПАДНЫЙ ФО,1,100.0,0,0.0,100.0,0.0,0.0,0.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1647,Архангельская обл.(б/а.о),СЕВЕРО-ЗАПАДНЫЙ ФО,74,63.8,8,6.9,56.8,0.0,0.0,43.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1648,Вологодская область,СЕВЕРО-ЗАПАДНЫЙ ФО,64,67.4,11,11.6,50.0,0.0,0.0,50.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1649,Калининградская область,СЕВЕРО-ЗАПАДНЫЙ ФО,23,26.7,37,43.0,47.8,0.0,0.0,52.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1650,г. Санкт-Петербург,СЕВЕРО-ЗАПАДНЫЙ ФО,281,51.0,109,19.8,43.4,0.0,0.0,56.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1651,Ленинградская область,СЕВЕРО-ЗАПАДНЫЙ ФО,57,65.5,16,18.4,14.0,0.0,0.0,86.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1652,Мурманская область,СЕВЕРО-ЗАПАДНЫЙ ФО,39,53.4,8,11.0,41.0,0.0,0.0,59.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1653,Новгородская область,СЕВЕРО-ЗАПАДНЫЙ ФО,20,34.5,17,29.3,50.0,0.0,0.0,50.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1654,Псковская область,СЕВЕРО-ЗАПАДНЫЙ ФО,21,38.9,15,27.8,52.4,0.0,0.0,47.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1655,Республика Карелия,СЕВЕРО-ЗАПАДНЫЙ ФО,29,52.7,4,7.3,41.4,0.0,0.0,58.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1656,Республика Коми,СЕВЕРО-ЗАПАДНЫЙ ФО,35,36.5,23,24.0,51.4,0.0,0.0,48.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1657,Краснодарский край,ЮЖНЫЙ ФО,297,57.3,34,6.6,64.3,0.0,0.0,35.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1658,Астраханская область,ЮЖНЫЙ ФО,45,53.6,19,22.6,35.6,0.0,0.0,64.4,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1659,Волгоградская область,ЮЖНЫЙ ФО,117,47.8,59,24.1,22.2,0.0,0.0,77.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1660,Ростовская область,ЮЖНЫЙ ФО,123,44.9,79,28.8,26.0,0.0,0.0,74.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1661,Республика Адыгея,ЮЖНЫЙ ФО,5,13.2,16,42.1,60.0,0.0,0.0,40.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1662,Республика Калмыкия,ЮЖНЫЙ ФО,9,64.3,3,21.4,11.1,0.0,0.0,88.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1663,Республика Крым,ЮЖНЫЙ ФО,99,54.1,41,22.4,45.5,0.0,0.0,54.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1664,Город Cевастополь,ЮЖНЫЙ ФО,24,48.0,9,18.0,37.5,0.0,0.0,62.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1665,Ставропольский край,СЕВЕРО-КАВКАЗСКИЙ ФО,92,32.4,89,31.3,76.1,0.0,0.0,23.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1666,Республика Ингушетия,СЕВЕРО-КАВКАЗСКИЙ ФО,12,66.7,2,11.1,33.3,0.0,0.0,66.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1667,Республика Дагестан,СЕВЕРО-КАВКАЗСКИЙ ФО,74,61.2,27,22.3,37.8,0.0,0.0,62.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1668,Респ. Кабардино-Балкария,СЕВЕРО-КАВКАЗСКИЙ ФО,21,35.6,28,47.5,38.1,0.0,0.0,61.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1669,Респ. Северная Осетия,СЕВЕРО-КАВКАЗСКИЙ ФО,19,36.5,8,15.4,21.1,0.0,0.0,78.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1670,Респ. Карачаево-Черкесия,СЕВЕРО-КАВКАЗСКИЙ ФО,24,66.7,6,16.7,8.3,0.0,0.0,91.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1671,Республика Чечня,СЕВЕРО-КАВКАЗСКИЙ ФО,36,63.2,13,22.8,11.1,0.0,0.0,88.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1672,Нижегородская область,ПРИВОЛЖСКИЙ ФО,195,54.9,57,16.1,61.5,0.0,0.0,38.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1673,Кировская область,ПРИВОЛЖСКИЙ ФО,80,55.2,22,15.2,47.5,0.0,0.0,52.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1674,Самарская область,ПРИВОЛЖСКИЙ ФО,201,61.5,27,8.3,54.7,0.0,0.0,45.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1675,Оренбургская область,ПРИВОЛЖСКИЙ ФО,65,39.9,61,37.4,38.5,0.0,0.0,61.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1676,Пензенская область,ПРИВОЛЖСКИЙ ФО,85,70.8,9,7.5,36.5,0.0,0.0,63.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1677,Пермский край,ПРИВОЛЖСКИЙ ФО,112,53.8,42,20.2,51.8,0.0,0.0,48.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1678,Саратовская область,ПРИВОЛЖСКИЙ ФО,162,68.6,9,3.8,35.2,0.0,0.0,64.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1679,Ульяновская область,ПРИВОЛЖСКИЙ ФО,46,45.1,19,18.6,13.0,0.0,0.0,87.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1680,Республика Башкортостан,ПРИВОЛЖСКИЙ ФО,184,64.3,46,16.1,34.8,0.0,0.0,65.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1681,Республика Марий Эл,ПРИВОЛЖСКИЙ ФО,12,22.6,29,54.7,75.0,0.0,0.0,25.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1682,Республика Мордовия,ПРИВОЛЖСКИЙ ФО,24,42.1,10,17.5,16.7,0.0,0.0,83.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1683,Республика Татарстан,ПРИВОЛЖСКИЙ ФО,78,20.7,201,53.5,67.9,0.0,0.0,32.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1684,Республика Удмуртия,ПРИВОЛЖСКИЙ ФО,85,59.9,15,10.6,49.4,0.0,0.0,50.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1685,Республика Чувашия,ПРИВОЛЖСКИЙ ФО,49,63.6,9,11.7,51.0,0.0,0.0,49.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1686,Ханты-Мансийский а.о.,УРАЛЬСКИЙ ФО,78,67.2,23,19.8,69.2,0.0,0.0,30.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1687,Ямало-Ненецкий а.о.,УРАЛЬСКИЙ ФО,7,21.9,15,46.9,57.1,0.0,0.0,42.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1688,Курганская область,УРАЛЬСКИЙ ФО,20,22.0,4,4.4,55.0,0.0,0.0,35.0,10.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1689,Свердловская область,УРАЛЬСКИЙ ФО,87,19.7,170,38.5,56.3,0.0,0.0,43.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1690,Тюменская обл.(б/а.о),УРАЛЬСКИЙ ФО,44,34.6,33,26.0,79.5,0.0,0.0,20.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1691,Челябинская область,УРАЛЬСКИЙ ФО,174,57.8,54,17.9,46.0,0.0,0.0,54.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1692,Алтайский край,СИБИРСКИЙ ФО,129,50.6,52,20.4,34.1,0.0,0.0,65.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1693,Красноярский край,СИБИРСКИЙ ФО,177,72.5,31,12.7,81.4,0.0,0.0,18.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1694,Иркутская область,СИБИРСКИЙ ФО,135,51.9,19,7.3,43.0,0.0,0.0,57.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1695,Кемеровская область,СИБИРСКИЙ ФО,71,34.8,72,35.3,47.9,0.0,0.0,52.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1696,Новосибирская область,СИБИРСКИЙ ФО,114,48.3,51,21.6,37.7,0.0,0.0,62.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1697,Омская область,СИБИРСКИЙ ФО,50,28.9,48,27.7,68.0,0.0,0.0,32.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1698,Томская область,СИБИРСКИЙ ФО,53,53.0,21,21.0,39.6,0.0,0.0,60.4,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1699,Республика Алтай,СИБИРСКИЙ ФО,3,30.0,2,20.0,33.3,0.0,0.0,66.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1700,Республика Тыва,СИБИРСКИЙ ФО,4,26.7,1,6.7,50.0,0.0,0.0,50.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1701,Республика Хакасия,СИБИРСКИЙ ФО,39,60.0,6,9.2,61.5,0.0,0.0,38.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1702,Приморский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,62,45.6,27,19.9,59.7,0.0,0.0,40.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1703,Хабаровский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,68,48.6,34,24.3,16.2,0.0,0.0,83.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1704,Амурская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,18,27.3,36,54.5,61.1,0.0,0.0,38.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1705,Камчатский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,18,64.3,4,14.3,22.2,0.0,0.0,77.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1706,Магаданская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,10,71.4,0,0.0,40.0,0.0,0.0,60.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1707,Сахалинская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,50,72.5,8,11.6,34.0,0.0,0.0,66.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
